IDS_PROPQUEST_INC_000000	Evènement
IDS_PROPQUEST_INC_000062	Je suis enfin devenu un Magicien ! Je peux retourner en ville pour acheter de l'équipement.
IDS_PROPQUEST_INC_000063	
IDS_PROPQUEST_INC_000064	
IDS_PROPQUEST_INC_000065	La vengeance du chiot
IDS_PROPQUEST_INC_000066	Losha m'a demandé de tuer les Jeunes Burudeng qui ont tué son chiot et de ramener 20 Dents de Jeune Burudeng comme preuve.
IDS_PROPQUEST_INC_000067	
IDS_PROPQUEST_INC_000068	
IDS_PROPQUEST_INC_000069	Lettre de Boboku
IDS_PROPQUEST_INC_000070	Boboku m'a demandé de donner cette lettre à celle qu'il aime secrètement, Julia.
IDS_PROPQUEST_INC_000071	
IDS_PROPQUEST_INC_000072	
IDS_PROPQUEST_INC_000073	Julia m'a confié une lettre pour Boboku, je devrais aller le voir au plus vite.
IDS_PROPQUEST_INC_000074	
IDS_PROPQUEST_INC_000075	
IDS_PROPQUEST_INC_000076	Boboku m'a dit que Julia acceptera son invitation quand il lui aura donné 20 Dents de Jeune Lawolf. Il m'a prié d'aller les chercher pour lui.
IDS_PROPQUEST_INC_000077	
IDS_PROPQUEST_INC_000078	
IDS_PROPQUEST_INC_000079	J'espère que tout se passera bien entre Julia et Boboku.
IDS_PROPQUEST_INC_000080	
IDS_PROPQUEST_INC_000081	
IDS_PROPQUEST_INC_000082	Chasse aux Bangs
IDS_PROPQUEST_INC_000083	Martin trouve que les Bangs le dérange pour étudier. Il m'a demandé de tuer les Capitaines Bang pour lui et de lui ramener 50 Pierres des Arcades comme preuve.
IDS_PROPQUEST_INC_000084	
IDS_PROPQUEST_INC_000085	
IDS_PROPQUEST_INC_000086	En récompense, il m'a offert un anneau.
IDS_PROPQUEST_INC_000087	
IDS_PROPQUEST_INC_000088	
IDS_PROPQUEST_INC_000089	Bozman et les Gemmes
IDS_PROPQUEST_INC_000090	Bozman m'a demandé de lui ramener 20 Gemmes de Scoll de Capitaines Wagsaac.
IDS_PROPQUEST_INC_000091	
IDS_PROPQUEST_INC_000092	
IDS_PROPQUEST_INC_000093	Bozman semblait très heureux d'avoir ces Gemmes de Scoll.
IDS_PROPQUEST_INC_000094	
IDS_PROPQUEST_INC_000095	
IDS_PROPQUEST_INC_000096	Une faveur pour Bill
IDS_PROPQUEST_INC_000097	Bill a besoin de 20 Pierres Epiques pour fabriquer quelque chose, et m'a demandé d'aller en trouver sur les Jeunes Wagsaac.
IDS_PROPQUEST_INC_000098	
IDS_PROPQUEST_INC_000099	
IDS_PROPQUEST_INC_000100	Bill est parti fabriquer ce qu'il voulait et m'a demandé de revenir un peu plus tard.
IDS_PROPQUEST_INC_000101	
IDS_PROPQUEST_INC_000102	
IDS_PROPQUEST_INC_000103	Marque de Bulrox
IDS_PROPQUEST_INC_000104	Biss a créé une marque et m'a demandé de l'apporter à Bulrox.
IDS_PROPQUEST_INC_000105	
IDS_PROPQUEST_INC_000106	
IDS_PROPQUEST_INC_000107	Bulrox était heureux de voir cette marque et est retourné travailler.
IDS_PROPQUEST_INC_000108	
IDS_PROPQUEST_INC_000109	
IDS_PROPQUEST_INC_000110	A la recherche de la Pierre de forge
IDS_PROPQUEST_INC_000111	Bulrox n'a plus de Pierres de forge et m'a demandé d'en trouver 10 sur les Capitaine Mia.
IDS_PROPQUEST_INC_000112	
IDS_PROPQUEST_INC_000113	
IDS_PROPQUEST_INC_000114	En récompense, il m'a forgé une arme.
IDS_PROPQUEST_INC_000115	
IDS_PROPQUEST_INC_000116	
IDS_PROPQUEST_INC_000117	Lettre de Tina.
IDS_PROPQUEST_INC_000118	Karin m'a demandé de transmettre une lettre à sa fille Tina.
IDS_PROPQUEST_INC_000119	
IDS_PROPQUEST_INC_000120	
IDS_PROPQUEST_INC_000121	Je devrais aller voir Tina.
IDS_PROPQUEST_INC_000122	
IDS_PROPQUEST_INC_000123	
IDS_PROPQUEST_INC_000124	Après avoir lu la lettre de Karin, Tina m'a demandé d'apporter cette lettre à sa mère.
IDS_PROPQUEST_INC_000125	
IDS_PROPQUEST_INC_000126	
IDS_PROPQUEST_INC_000127	Après avoir lu la lettre de Tina, Karin m'a remercié de la lui avoir apportée.
IDS_PROPQUEST_INC_000128	
IDS_PROPQUEST_INC_000129	
IDS_PROPQUEST_INC_000130	Retrouver son chez soi.
IDS_PROPQUEST_INC_000131	Paul veut rentrer chez lui, mais il a peur des Aibatts. Il m'a donc demandé de les chasser, et de lui ramener 20 Ailes d'Aibatt.
IDS_PROPQUEST_INC_000132	
IDS_PROPQUEST_INC_000133	
IDS_PROPQUEST_INC_000134	Faveur pour Dunkan
IDS_PROPQUEST_INC_000135	Dunkan a besoin de Poudre bleue pour faire de la liqueur, et m'a demandé de lui en ramener 25 sachets. Je peux en trouver sur les Capitaine Mushpang.
IDS_PROPQUEST_INC_000136	
IDS_PROPQUEST_INC_000137	
IDS_PROPQUEST_INC_000138	Mais comment peut-il boire un alcool aussi fort, cul-sec ?!
IDS_PROPQUEST_INC_000139	
IDS_PROPQUEST_INC_000140	
IDS_PROPQUEST_INC_000141	Esprit du Vagabond
IDS_PROPQUEST_INC_000142	En tant que directeur de l'association des Vagabonds, Stine m'a demandé de lui ramener un cadeau de ses amis Valin, Mule et Rooney.
IDS_PROPQUEST_INC_000143	
IDS_PROPQUEST_INC_000144	
IDS_PROPQUEST_INC_000145	Après lui avoir donné ses cadeaux, il m'a demandé d'aller lui trouver 15 Couteaux Pukepuke de Capitaines Pukepuke qui vivent au nord de la vallée.
IDS_PROPQUEST_INC_000146	
IDS_PROPQUEST_INC_000147	
IDS_PROPQUEST_INC_000148	Collecter 15 Couteaux Pukepuke sur les Capitaines Pukepuke.
IDS_PROPQUEST_INC_000149	
IDS_PROPQUEST_INC_000150	
IDS_PROPQUEST_INC_000151	Après avoir remis les 15 Couteaux Pukepuke à Stine, il m'a offert un habit.
IDS_PROPQUEST_INC_000152	
IDS_PROPQUEST_INC_000153	
IDS_PROPQUEST_INC_000154	Trouver la carte
IDS_PROPQUEST_INC_000155	J'ai fais la connaissance du cartographe Jeff. Il m'a donné un morceau de carte, et m'a proposé d'aller rencontrer son ami Tomy dans le jardin à l'est de la ville.
IDS_PROPQUEST_INC_000156	
IDS_PROPQUEST_INC_000157	
IDS_PROPQUEST_INC_000158	Tomy m'a donné un nouveau morceau de la carte et m'a indiqué que son amie Masha pourrait la compléter. Elle est au nord du Square de Flaris.
IDS_PROPQUEST_INC_000159	
IDS_PROPQUEST_INC_000160	
IDS_PROPQUEST_INC_000161	Avec l'aide de Jeff, Tomy et Masha, j'ai enfin une carte complète, ça devrait m'être utile.
IDS_PROPQUEST_INC_000162	
IDS_PROPQUEST_INC_000163	
IDS_PROPQUEST_INC_000164	Mécanisme
IDS_PROPQUEST_INC_000165	Le gardien de l'horloge Maki m'a demandé de lui apporter 10 Volonté de fer de Géant Puppet, pour qu'il puisse la réparer.
IDS_PROPQUEST_INC_000166	
IDS_PROPQUEST_INC_000167	
IDS_PROPQUEST_INC_000168	Quoi ! Ce n'est pas assez ? Ah non je ne recommencerai pas !
IDS_PROPQUEST_INC_000169	
IDS_PROPQUEST_INC_000170	
IDS_PROPQUEST_INC_000171	Se jouer des Capitaine Lawolf
IDS_PROPQUEST_INC_000172	Damian a parlé ! Il m'a prié de trouver 15 Morceaux de carte secret de Capitaine Lawolf pour se moquer d'eux.
IDS_PROPQUEST_INC_000173	
IDS_PROPQUEST_INC_000174	
IDS_PROPQUEST_INC_000175	Permis de voler, première étape.
IDS_PROPQUEST_INC_000176	Je dois absolument obtenir mon permis pour voler. La première étape consiste à ramener 6 Jambes de Fefern, obtenues sur des Capitaines Fefern.
IDS_PROPQUEST_INC_000177	
IDS_PROPQUEST_INC_000178	
IDS_PROPQUEST_INC_000179	J'ai réussi avec succès le premier test. Pour le second test, je dois allez voir Tina dès que je serais Niveau 18.
IDS_PROPQUEST_INC_000180	
IDS_PROPQUEST_INC_000181	
IDS_PROPQUEST_INC_000182	Permis de voler, seconde étape.
IDS_PROPQUEST_INC_000183	Pour la seconde partie du passage du permis, je dois trouver 8 Chaînes de Bang. Je devrais en trouver facilement sur les Bang qui infestent Madrigal.
IDS_PROPQUEST_INC_000184	
IDS_PROPQUEST_INC_000185	
IDS_PROPQUEST_INC_000186	J'ai réussi le second test. Pour la dernière partie du test je dois aller parler à Martin et avoir atteind le Niveau 19.
IDS_PROPQUEST_INC_000187	
IDS_PROPQUEST_INC_000188	
IDS_PROPQUEST_INC_000189	Permis de voler, dernière étape.
IDS_PROPQUEST_INC_000190	Martin m'a indiqué que Marche à Flaris pourrait m'apprendre à voler.
IDS_PROPQUEST_INC_000191	
IDS_PROPQUEST_INC_000192	
IDS_PROPQUEST_INC_000193	Marche m'a gentiment appris à voler et m'a aussi donné une Aile instantanée pour rentrer à Saint Morning.
IDS_PROPQUEST_INC_000194	
IDS_PROPQUEST_INC_000195	
IDS_PROPQUEST_INC_000196	J'ai finalement terminé les tests. Maintenant je dois aller voir Tina et fabriquer un balai. Pour cela je dois être Niveau 20.
IDS_PROPQUEST_INC_000197	
IDS_PROPQUEST_INC_000198	
IDS_PROPQUEST_INC_000199	Coloration
IDS_PROPQUEST_INC_000200	Iske a besoin de produits de coloration pour son institut de beauté. Elle m'a demandé de lui ramener 20 Cheveux de Nyang de Capitaine Nyangnyang.
IDS_PROPQUEST_INC_000201	
IDS_PROPQUEST_INC_000202	
IDS_PROPQUEST_INC_000203	Iske m'a offert un Coupon pour me faire une nouvelle coupe de cheveux.
IDS_PROPQUEST_INC_000204	
IDS_PROPQUEST_INC_000205	
IDS_PROPQUEST_INC_000206	Amour de balai
IDS_PROPQUEST_INC_000207	Jeff veux voir sa femme Kimberi à Flaris. Il m'a donc demandé de lui obtenir un balai. Il faut que j'aille voir Dior.
IDS_PROPQUEST_INC_000208	
IDS_PROPQUEST_INC_000209	
IDS_PROPQUEST_INC_000210	Dior a réfléchi une minute et m'a donné un balai. Jeff sera content de voir ça.
IDS_PROPQUEST_INC_000211	
IDS_PROPQUEST_INC_000212	
IDS_PROPQUEST_INC_000213	Jeff était si heureux avec son balai. Maintenant il peut aller voir sa femme.
IDS_PROPQUEST_INC_000214	
IDS_PROPQUEST_INC_000215	
IDS_PROPQUEST_INC_000216	Masque Pumpkin
IDS_PROPQUEST_INC_000217	Leann m'a demandé de trouver 10 Têtes de Pumpkin sur des Capitaines Pumpkin, elle pourra alors me confectionner un masque.
IDS_PROPQUEST_INC_000218	
IDS_PROPQUEST_INC_000219	
IDS_PROPQUEST_INC_000220	Depuis que Leann est heureuse, moi aussi j'ai retrouvé la joie.
IDS_PROPQUEST_INC_000221	
IDS_PROPQUEST_INC_000222	
IDS_PROPQUEST_INC_000223	La meilleure cuisine de Remantis Laccotte
IDS_PROPQUEST_INC_000224	Oeufs de Jeune Mantis… Depuis que c'est un produit rare, ça n'en parait que meilleur. Bon, je dois trouver 10.
IDS_PROPQUEST_INC_000225	
IDS_PROPQUEST_INC_000226	
IDS_PROPQUEST_INC_000227	Hmm... Mon comportement était-il si... froid?
IDS_PROPQUEST_INC_000228	
IDS_PROPQUEST_INC_000229	
IDS_PROPQUEST_INC_000230	Après lui avoir donné les Oeufs de Mantis, elle m'a demandé de lui donner 3 Griffantis de Mantis.
IDS_PROPQUEST_INC_000231	
IDS_PROPQUEST_INC_000232	
IDS_PROPQUEST_INC_000233	Après avoir vu combien elle était heureuse, je pense que ça valait la peine de faire tout ça.
IDS_PROPQUEST_INC_000234	
IDS_PROPQUEST_INC_000235	
IDS_PROPQUEST_INC_000236	Secourir Pang !!
IDS_PROPQUEST_INC_000237	Il était endetté, il a donc vendu son animal. Je pense que Maki est trop froid.
IDS_PROPQUEST_INC_000238	
IDS_PROPQUEST_INC_000239	
IDS_PROPQUEST_INC_000240	J'ai été dupé... Bon, je dois trouver une Barbe de Jacks sur un Capitaine Jackammer.
IDS_PROPQUEST_INC_000241	
IDS_PROPQUEST_INC_000242	
IDS_PROPQUEST_INC_000243	Il est vraiment dingue de cette Barbe de Jacks. Quoiqu'il en soit je dois retourner auprès de Pang à Saint Morning.
IDS_PROPQUEST_INC_000244	
IDS_PROPQUEST_INC_000245	
IDS_PROPQUEST_INC_000246	Depuis que j'ai sauvé RoliPang et reçu un cadeau de Saintpang, je me sens super bien.
IDS_PROPQUEST_INC_000247	
IDS_PROPQUEST_INC_000248	
IDS_PROPQUEST_INC_000249	Service de livraison ??
IDS_PROPQUEST_INC_000250	Elle n'a pas changé de fringues depuis 6 mois ?? Je devrais aller voir Ismeralda à Flaris.
IDS_PROPQUEST_INC_000251	
IDS_PROPQUEST_INC_000252	
IDS_PROPQUEST_INC_000253	Pareil ici. Qu'est-ce que c'est sale... Je dois retourner voir Herth.
IDS_PROPQUEST_INC_000254	
IDS_PROPQUEST_INC_000255	
IDS_PROPQUEST_INC_000256	Enfin ils peuvent porter des vêtements propres…
IDS_PROPQUEST_INC_000257	
IDS_PROPQUEST_INC_000258	
IDS_PROPQUEST_INC_000259	Disparition du Saint Holy - Chapitre 1
IDS_PROPQUEST_INC_000260	Le Saint Holy a été perdu, et sans lui les gens ne pourront être ressuscités. Apparemment Karin sait quelque chose…
IDS_PROPQUEST_INC_000261	
IDS_PROPQUEST_INC_000262	
IDS_PROPQUEST_INC_000263	Karin pense que Bill est un voleur. Selon toute apparence, elle n'aime pas Bill…
IDS_PROPQUEST_INC_000264	
IDS_PROPQUEST_INC_000265	
IDS_PROPQUEST_INC_000266	Bill m'a révélé qu'il était avec Tina à ce moment là. Je devrais donc aller discuter avec Tina.
IDS_PROPQUEST_INC_000267	
IDS_PROPQUEST_INC_000268	
IDS_PROPQUEST_INC_000269	Tina m'a confirmé que Bill était bien avec elle. Alors qui est le voleur ? Tina pense que Martin pourrait m'en apprendre davantage.
IDS_PROPQUEST_INC_000270	
IDS_PROPQUEST_INC_000271	
IDS_PROPQUEST_INC_000272	J'ai finalement un indice. Je devrais aller voir Bozman.
IDS_PROPQUEST_INC_000273	
IDS_PROPQUEST_INC_000274	
IDS_PROPQUEST_INC_000275	C'est un ruban que portent les Acolytes. Et Helena étant le chef des Acolytes, je devrais aller la trouver.
IDS_PROPQUEST_INC_000276	
IDS_PROPQUEST_INC_000277	
IDS_PROPQUEST_INC_000278	Disparition du Saint Holy - Chapitre 2
IDS_PROPQUEST_INC_000279	Comme il y a un [H] inscrit sur le ruban, j'ai demandé à Helena s'il lui appartenait.
IDS_PROPQUEST_INC_000280	
IDS_PROPQUEST_INC_000281	
IDS_PROPQUEST_INC_000282	Oui, j'avais oublié Herth. Je devrais aller la voir.
IDS_PROPQUEST_INC_000283	
IDS_PROPQUEST_INC_000284	
IDS_PROPQUEST_INC_000285	Herth m'a avoué que c'était elle, elle m'a demandé de garder le secret. Bon, je devrais retourner voir Helena.
IDS_PROPQUEST_INC_000286	
IDS_PROPQUEST_INC_000287	
IDS_PROPQUEST_INC_000288	Helena était-elle déjà au courant ? Elle ne m'a même pas demandé qui c'était…
IDS_PROPQUEST_INC_000289	
IDS_PROPQUEST_INC_000290	
IDS_PROPQUEST_INC_000291	Sauvetage du patrimoine historique Chapitre 1
IDS_PROPQUEST_INC_000292	Le jardin de Rhisis est en train de dépérir. Pour empêcher cela, j'ai besoin de 10 Coeurs de Bearer. J'en trouverai sur des Tombstones.
IDS_PROPQUEST_INC_000293	
IDS_PROPQUEST_INC_000294	
IDS_PROPQUEST_INC_000295	Ann m'a dit d'aller voir Janne.
IDS_PROPQUEST_INC_000296	
IDS_PROPQUEST_INC_000297	
IDS_PROPQUEST_INC_000298	Sauvetage du patrimoine historique Chapitre 2
IDS_PROPQUEST_INC_000299	Kimberley possède un objet appelé Bol en os. Il faut que j'aille lui parler.
IDS_PROPQUEST_INC_000300	
IDS_PROPQUEST_INC_000301	
IDS_PROPQUEST_INC_000302	C'est une très bonne chose d'avoir conservé ce Coupon de coiffure. Je devrais retourner voir Janne.
IDS_PROPQUEST_INC_000303	
IDS_PROPQUEST_INC_000304	
IDS_PROPQUEST_INC_000305	Quand Janne m'a rendu les Coeurs de Bearer, elle m'a demandé d'aller voir Marshe à Flaris.
IDS_PROPQUEST_INC_000306	
IDS_PROPQUEST_INC_000307	
IDS_PROPQUEST_INC_000308	Sauvetage du patrimoine historique - Chapitre 3
IDS_PROPQUEST_INC_000309	Quand j'ai remis le Bol en os et le Coeur de Bearer à Ann, elle m'a donné un Thé de vie en échange. Je devrais retourner voir Ann.
IDS_PROPQUEST_INC_000310	
IDS_PROPQUEST_INC_000311	
IDS_PROPQUEST_INC_000312	J'ai transmis le Thé de vie à Ann, et elle m'a offert une boucle d'oreille en récompense.
IDS_PROPQUEST_INC_000313	
IDS_PROPQUEST_INC_000314	
IDS_PROPQUEST_INC_000315	Formation d'une guilde
IDS_PROPQUEST_INC_000316	La première chose à faire pour créer une guilde est de trouver 20 Peakyrinds, 10 Allumettes furieuses, 8 Bobands, 5 Orbrins and 5 Droils. Mais où donc vais-je trouver tous ces objets?
IDS_PROPQUEST_INC_000317	
IDS_PROPQUEST_INC_000318	
IDS_PROPQUEST_INC_000319	Le second objectif consiste à rassembler 300 000 penyas. Comment puis-je trouver une telle somme d'argent?
IDS_PROPQUEST_INC_000320	
IDS_PROPQUEST_INC_000321	
IDS_PROPQUEST_INC_000322	J'ai besoin de constituer un groupe de 6 joueurs. Je suis plutôt sympa, ça devrait le faire.
IDS_PROPQUEST_INC_000323	
IDS_PROPQUEST_INC_000324	
IDS_PROPQUEST_INC_000325	Clockworks, le monstre légendaire
IDS_PROPQUEST_INC_000326	Dr. East... Où vais-je le trouver dans Darkon?
IDS_PROPQUEST_INC_000327	
IDS_PROPQUEST_INC_000328	
IDS_PROPQUEST_INC_000329	Livre du Monstre 1, un livre sur la naissance de Clockworks. Je n'aurai jamais pensé être obligé de savoir tout ça. Quoiqu'il en soit, où dois-je me rendre? Flaris ou Saint Morning?
IDS_PROPQUEST_INC_000330	
IDS_PROPQUEST_INC_000331	
IDS_PROPQUEST_INC_000332	Ils sont en tout point semblable. Erf. S'il veut une cape de guilde, il n'a qu'à en rejoindre une.
IDS_PROPQUEST_INC_000333	
IDS_PROPQUEST_INC_000334	
IDS_PROPQUEST_INC_000335	Livre du Monstre 3! Il ne me reste plus qu'un dernier livre à lire.
IDS_PROPQUEST_INC_000336	
IDS_PROPQUEST_INC_000337	
IDS_PROPQUEST_INC_000338	Livre du Monstre 2.Je n'aime vraiment pas lire ce genre de bouquins.
IDS_PROPQUEST_INC_000339	
IDS_PROPQUEST_INC_000340	
IDS_PROPQUEST_INC_000341	J'ai fait tout ça pour un caillou ? Clockworks, me voilà !!
IDS_PROPQUEST_INC_000342	
IDS_PROPQUEST_INC_000343	
IDS_PROPQUEST_INC_000344	Voie des Héros - Chapitre 1
IDS_PROPQUEST_INC_000345	Connais-tu les Héros qui ont sauvé le monde ? Je parie que non ? Cela s'est passé il y a très longtemps. Je ne sais pas grand-chose moi-même.
IDS_PROPQUEST_INC_000346	Je sais que tu finiras par devenir très puissant. Je sais. Mais tu as encore le temps…
IDS_PROPQUEST_INC_000347	Nous jouons La légende des Héros. Viens nous voir de temps en temps.
IDS_PROPQUEST_INC_000348	Oh. Tu es un Acrobate. Désolé mais ceci n'est pas pour les Acrobates. Va au village de Darkon et trouves ce que tu peux faire là-bas.
IDS_PROPQUEST_INC_000349	Va voir le Grand Sage Radéon. Il aime voyager et j'ai entendu dire qu'il était à Flaris.
IDS_PROPQUEST_INC_000350	Parler avec le Grand Sage Radéon.
IDS_PROPQUEST_INC_000351	En cours.
IDS_PROPQUEST_INC_000352	Le collectionneur des histoires les plus extraordinaires Brodeay. Il cache quelque chose derrière son sourire.
IDS_PROPQUEST_INC_000353	Félicitations! Tu es devenu un érudit sur les Héros.
IDS_PROPQUEST_INC_000354	Terminé.
IDS_PROPQUEST_INC_000355	Voie des Héros - Chapitre 2
IDS_PROPQUEST_INC_000356	Madrigal recèle de nombreux secrets. J'ai vécu plus de 1000 ans, mais il y a plus de secrets qui me sont encore cachés que de secrets qui m'ont été révélés.
IDS_PROPQUEST_INC_000357	Tu veux être fort? Pour devenir fort, tu dois faire beaucoup d'efforts. Ce que tu n'as pas fait.
IDS_PROPQUEST_INC_000358	Tout sera fait comme ça doit être fait.
IDS_PROPQUEST_INC_000359	Les Ancimys sont de gros joueurs. Bon en fait, ils ne connaissent que le jeu Pierre, Ciseaux, Papiers. Tu pourras les trouver près de l'île haute de Flaris, près du grand arbre de Saint Morning, et près de la grue mécanique de Darkon.
IDS_PROPQUEST_INC_000360	Trouve l'un des Ancimys et collecte 6 Traces de Héros de chaque sortes.
IDS_PROPQUEST_INC_000361	En cours.
IDS_PROPQUEST_INC_000362	Donne les Traces de Héros au frère Venken. Ne les perd surtout pas.
IDS_PROPQUEST_INC_000363	Rencontrer frère Venken et lui donner les Traces de Héros.
IDS_PROPQUEST_INC_000364	Terminé.
IDS_PROPQUEST_INC_000365	Voie des Héros - Chapitre 3
IDS_PROPQUEST_INC_000366	Le Temple des Héros est l'endroit qui mène à la Voie des Héros.
IDS_PROPQUEST_INC_000367	Tu n'es pas encore assez méritant pour pouvoir suivre la Voie des Héros. Je ne peux t'y guider.
IDS_PROPQUEST_INC_000368	Seule la bravoure et la force pourront te guider sur la Voie des Héros.
IDS_PROPQUEST_INC_000369	Les Héros, ils veillent sur toi en permanence... Suis la Voie des Héros... Ils continueront à veiller sur toi.
IDS_PROPQUEST_INC_000370	Tu n'es pas encore assez méritant pour pouvoir suivre la Voie des Héros. Je ne peux t'y guider.
IDS_PROPQUEST_INC_000371	Seule la bravoure et la force pourront te guider sur la Voie des Héros.
IDS_PROPQUEST_INC_000372	Nous sommes ici grâce aux Héros. Nous devons leur en être éternellement reconnaissants.
IDS_PROPQUEST_INC_000373	Tu n'es pas encore assez méritant pour pouvoir suivre la Voie des Héros. Je ne peux t'y guider.
IDS_PROPQUEST_INC_000374	Seule la bravoure et la force pourront te guider sur la Voie des Héros.
IDS_PROPQUEST_INC_000375	<Par leur sacrifice, nous vivons des jours de paix. Les Héros nous ont offert une ère de paix…> J'aime vraiment cette chanson.
IDS_PROPQUEST_INC_000376	Reviens quand tu auras grandi.
IDS_PROPQUEST_INC_000377	Quelque chose ne va pas... J'ai perdu quelque chose ! Mais où est mon trésor ?!
IDS_PROPQUEST_INC_000378	Tu as juste à montrer ce sceptre à Luellui. Luellui se trouve à Helret.
IDS_PROPQUEST_INC_000379	Apporter le sceptre de Venken à Luellui.
IDS_PROPQUEST_INC_000380	En cours.
IDS_PROPQUEST_INC_000381	Apporter ce ruban à Dien. Dien devrait être sur le pont, juste de l'autre côté.
IDS_PROPQUEST_INC_000382	Donner le ruban de Luellui à Dien.
IDS_PROPQUEST_INC_000383	En cours.
IDS_PROPQUEST_INC_000384	Les Drillers peuvent être trouvés près du Puits de vie. Récupère 6 Pierres d'âmes des Héros sur des Jeune Drillers et des Drillers.
IDS_PROPQUEST_INC_000385	Ramasse 6 Pierres d'âmes des Héros.
IDS_PROPQUEST_INC_000386	En cours.
IDS_PROPQUEST_INC_000387	Au jardin de Rhisis, tu trouveras le Grand Dwarpet Kheymerhan. Il devrait être près de Pranksters.
IDS_PROPQUEST_INC_000388	Récupère le livre sur l'Histoire de la vie Héros auprès de Kheymerhan.
IDS_PROPQUEST_INC_000389	En cours.
IDS_PROPQUEST_INC_000390	Le Charme des charmes peut déstabiliser totalement ton adversaire. Il laissera alors tomber ses objets sur le sol.
